//软件进程	软件名称
TKR651C.exe	TKR651C电台
TCR120D.exe	TCR120D电台
weatherpub.exe	气象发布端软件
ReceiveClient.exe	气象接收端软件
TCU04xnct1.exe	TCU04虚拟车通(1号盒)
122moniq.exe	89式122模拟器火控仿真软件
VBS2.exe	视景客户端
96A.exe	96A车长终端
04步.exe	04步车长终端
NetworkSimulator.exe	通信网络仿真软件
TCR96GB.exe	TCR96GB电台
DWXXCJ.exe	定位信息采集软件
96ATKHKFZ.exe	96A坦克模拟器火控仿真软件
TBR121C.exe	TBR121C电台
TCR96A.exe	TCR96A电台
04BZCHKFZ.exe	04步战车模拟器火控仿真软件
TCU99Axnct1.exe	TCU99A虚拟车通(1号盒)
AirforceInterface.exe	空军导调服务接口程序
